Identifier;Type;Address;Assignee;Annote;Author;Booktitle;Chapter;Day;Dayfiled;Edition;Editor;Howpublish;Institution;Journal;Language;Month;Monthfiled;Nationality;Note;Number;Organization;Pages;Publisher;Revision;School;Series;Title;RepType;Volume;Year;Yearfiled;URL;Custom1;Custom2;Custom3;Custom4;Custom5;ISBN
ZhaoYenChang2004a;7;;;;Zhao, Ning and Yen, David C. and Chang, I-Chiu;;;;;;;;;Information Management and Computer Security;English;;;;"Computer assisted audit tools (CAATs);Continuous auditing;Economic viability;Extensive business reporting language (XBRL);Financial statements;Real time accounting (RTA);";5;;389 - 400;;;;;Auditing in the e-commerce era;;12;2004;;http://dx.doi.org/10.1108/09685220410563360;;;;;;
ZhengLiMadnickEtAl;10;;;;Xiaoqing Zheng and Xitong Li and Stuart Madnick and Xiaoqing Zheng and Xitong Li and Stuart E. Madnick;;;;;;;;;;;;;;;;;;;;;;SPARQL Query Mediation for Data Integration;;;;;;;;;;;
ZhuMadnickLeeEtAl;10;;;;Hongwei Zhu and Stuart Madnick and Yang Lee and Richard Wang and Hongwei Zhu and Yang W. Lee;;;;;;;;;;;;;;;;;;;;;;Data and Information Quality Research: Its Evolution and Future;;;;;;;;;;;
ZhuWu2011;7;Hershey, PA, USA;;;Zhu, Hongwei and Wu, Harris;;;;;;;;;Int. J. E-Bus. Res.;;April;;;;2;;19--33;IGI Global;;;;Interoperability of XBRL Financial Statements in the U.S.;;7;2011;;http://dx.doi.org/10.4018/jebr.2011040103;;;;;;
ZhuWu2014a;7;;;;Hongwei Zhu and Harris Wu;;;;;;;;;Decision Support Systems ;;;;;;;;351 - 360;;;;;Assessing the quality of large-scale data standards: A case of \XBRL\ \GAAP\ Taxonomy ;;59;2014;;http://www.sciencedirect.com/science/article/pii/S0167923614000074;;;;;;
2008;5;;;;;Governance, Risk, and Compliance Handbook;;;;;;;;;;;;;;;;i--liii;John Wiley \& Sons, Inc.;;;;Front Matter;;;2008;;http://dx.doi.org/10.1002/9781118269213.fmatter;;;;;;9781118269213
Cummins2009;5;Burlington;;;;Building the Agile Enterprise ;;;;;Cummins, Fred A. ;;;;;;;;;;;297 - 306;Morgan Kaufmann;;;The MK/OMG Press;Index ;;;2009;;http://www.sciencedirect.com/science/article/pii/B9780123744456000170;;;;;;978-0-12-374445-6
Williams2011;5;San Diego;;;;An Introduction to Trading in the Financial Markets ;;;;;Williams, R. “Tee” ;;;;;;;;;;;335 - 368;Academic Press;;;;Glossary ;;;2011;;http://www.sciencedirect.com/science/article/pii/B9780123748409000437;;;;;;978-0-12-374840-9
2012;5;;;;;IFRS and XBRL: How to Improve Business Reporting Through Technology and Object Tracking;;;;;;;;;;;;;;;;189--222;John Wiley \& Sons, Inc.;;;;IFRS Disclosure;;;2012;;http://dx.doi.org/10.1002/9781119208099.ch11;;;;;;9781119208099
Reiman2012;5;;;;;Public Interest and Private Rights in Social Media ;;;;;Reiman, Cornelis ;;;;;;;;;;;xxv - xxxiv;Chandos Publishing;;;Chandos Publishing Social Media Series;About the contributors ;;;2012;;http://www.sciencedirect.com/science/article/pii/B9781843346937500192;;;;;;978-1-84334-693-7
2014;5;;;;;ERM Enterprise Risk Management;;;;;;;;;;;;;;;;255--262;John Wiley \& Sons, Ltd;;;;Index;;;2014;;http://dx.doi.org/10.1002/9781118892015.index;;;;;;9781118892015
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Broad Based Business Reporting Supplementary paper Business;;;;;;;;;;;
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Broad Based Business Reporting Supplementary paper Business;;;;;;;;;;;
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Information for Better Markets DEVELOPMENTS IN NEW REPORTING MODELSInformation for Better Markets An initiative from the ICAEW Financial Reporting Faculty;;;;;;;;;;;
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Information for Better Markets DEVELOPMENTS IN NEW REPORTING MODELSInformation for Better Markets An initiative from the ICAEW Financial Reporting Faculty;;;;;;;;;;;
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Information for Better Markets DEVELOPMENTS IN NEW REPORTING MODELSInformation for Better Markets An initiative from the ICAEW Financial Reporting Faculty;;;;;;;;;;;
;10;;;;;;;;;;;;;;;;;;;;;;;;;;Century Business Reporting System;;;;;;;;;;;
