Identifier;Type;Address;Assignee;Annote;Author;Booktitle;Chapter;Day;Dayfiled;Edition;Editor;Howpublish;Institution;Journal;Language;Month;Monthfiled;Nationality;Note;Number;Organization;Pages;Publisher;Revision;School;Series;Title;RepType;Volume;Year;Yearfiled;URL;Custom1;Custom2;Custom3;Custom4;Custom5;ISBN
BonsonEscobarFlores2011;7;Inderscience Publishers, Geneva, SWITZERLAND;;;Bonson, Enrique and Escobar, Tomas and Flores, Francisco;;;;;;;;;Int. J. Metadata Semant. Ontologies;;September;;;;1;;1--9;Inderscience Publishers;;;;BaselMapper: An Experimental Tool for Managing Operational Risk in Banks;;6;2011;;http://dx.doi.org/10.1504/IJMSO.2011.042486;;;;;;
BonsonEscobarFlores2011a;7;Editorial Office, P O Box 735, Olney, Bucks., MK46 5WB, MK46 5WB, United Kingdom;;;Bonson, Enrique and Escobar, Tomas and Flores, Francisco;;;;;;;;;International Journal of Metadata, Semantics and Ontologies;English;;;;"Basel II;eXtensible Business Reporting Language;Operational risks;Transactional information;XBRL;";1;;1 - 9;;;;;BaselMapper: An experimental tool for managing Operational Risk in banks;;6;2011;;http://dx.doi.org/10.1504/IJMSO.2011.042486;;;;;;
BonsonRoyoRatkai2015;7;;;;Enrique Bonsón and Sonia Royo and Melinda Ratkai;;;;;;;;;Government Information Quarterly ;;;;;;1;;52 - 62;;;;;Citizens' engagement on local governments' Facebook sites. An empirical analysis: The impact of different media and content types in Western Europe ;;32;2015;;http://www.sciencedirect.com/science/article/pii/S0740624X14001567;;;;;;
BonsonTorresRoyoEtAl2012;7;;;;Enrique Bonsón and Lourdes Torres and Sonia Royo and Francisco Flores;;;;;;;;;Government Information Quarterly ;;;;;;2;;123 - 132;;;;;Local e-government 2.0: Social media and corporate transparency in municipalities ;;29;2012;;http://www.sciencedirect.com/science/article/pii/S0740624X1200010X;;;;;;
BoritzNo2011;10;;;;E Boritz and W G No;;;;;;;;;;;;;;;;;;;;;;Computer-assisted functions for auditing XBRL-related documents Working paper;;;2011;;;;;;;;
BoritzNo;10;;;;Efrim Boritz and Won Gyun No;;;;;;;;;;;;;;;;;;;;;;Computer-Assisted Tools for Auditing XBRL-Related Documents;;;;;;;;;;;
Boyer-WrightSummersKottemann2010;7;;;;Boyer-Wright, Kathleen and Summers, George and Kottemann, Jeffrey;;;;;;;;;Issues in Informing Science and Information Technology;;;;;;;;509--518;;;;;XBRL: Is it time;;7;2010;;;;;;;;
Bragg2010;5;;;;Bragg, Steven M.;Running an Effective Investor Relations Department;;;;;;;;;;;;;;;;57--68;John Wiley \& Sons, Inc.;;;;Public Communications;;;2010;;http://dx.doi.org/10.1002/9781118268209.ch5;;;;;;9781118268209
BrivotChoKuhn2015;7;;;;Marion Brivot and Charles H. Cho and John R. Kuhn;;;;;;;;;Critical Perspectives on Accounting ;;;;;;;;23 - 43;;;;;Marketing or parrhesia: A longitudinal study of AICPA's shifting languages in times of turbulence ;;31;2015;;http://www.sciencedirect.com/science/article/pii/S1045235415000507;;;;;;
ButlerGhosh2015;7;;;;Stephen A. Butler and Dipankar Ghosh;;;;;;;;;The British Accounting Review ;;;;;;1;;33 - 45;;;;;Individual differences in managerial accounting judgments and decision making ;;47;2015;;http://www.sciencedirect.com/science/article/pii/S0890838914000699;;;;;;
CaetanodaSilvaTimesCiferriEtAl2012;7;Hershey, PA, USA;;;Caetano da Silva, Paulo and Times, Val{\'e}ria Ces\'{a}rio and Ciferri, Ricardo Rodrigues and Ciferri, Cristina Dutra de Aguiar;;;;;;;;;Int. J. Data Warehous. Min.;;January;;;;1;;52--92;IGI Global;;;;Analytical Processing Over XML and XLink;;8;2012;;http://dx.doi.org/10.4018/jdwm.2012010103;;;;;;
CallaghanNehmerSugumaran2012;7;Inderscience Publishers, Geneva, SWITZERLAND;;;Callaghan, Joseph H. and Nehmer, Robert A. and Sugumaran, Vijayan;;;;;;;;;Int. J. Bus. Inf. Syst.;;May;;;;1;;68--92;Inderscience Publishers;;;;Modelling Business Applications with XBRL and UML;;10;2012;;http://dx.doi.org/10.1504/IJBIS.2012.046681;;;;;;
CampbellFisherStuart2012;7;;;;Campbell, Terry and Fisher, Joseph G. and Stuart, Nathan V.;;;;;;;;;Journal of Corporate Accounting \& Finance;;;;;;5;;61--68;Wiley Subscription Services, Inc., A Wiley Company;;;;Integrating sustainability with corporate strategy: A maturity model for the finance function;;23;2012;;http://dx.doi.org/10.1002/jcaf.21785;;;;;;
CannonGodwinGoldberg2008;7;;;;Cannon, David and Godwin, Joseph H. and Goldberg, Stephen R.;;;;;;;;;Journal of Corporate Accounting \& Finance;;;;;;2;;83--85;Wiley Subscription Services, Inc., A Wiley Company;;;;Corporate Governance and Enterprise Risk Management;;19;2008;;http://dx.doi.org/10.1002/jcaf.20374;;;;;;
CapozzoliAli2009;7;;;;Capozzoli, Ernest A and Ali, Radwan;;;;;;;;;International Review of Business Research Papers;;;;;;6;;72--78;;;;;XBRL Versioning: Imminent Challenges and Potential Solutions;;5;2009;;;;;;;;
CapozzoliFarewell2010;7;;;;Capozzoli, Ernest and Farewell, Stephanie;;;;;;;;;Issues in Accounting Education;;;;;;3;;489--511;;;;;SEC XBRL filing requirements: An instructional case on tagging financial statement disclosures;;25;2010;;;;;;;;
CappelloClarkGilmoreEtAl2011;5;Berlin, Heidelberg;;;Cappello, Igor and Clark, Allan and Gilmore, Stephen and Latella, Diego and Loreti, Michele and Quaglia, Paola and Schivo, Stefano;;Quantitative Analysis of Services;;;;"Wirsing, Martin and H\""{o}lzl, Matthias";;;;;;;;;;;522--540;Springer-Verlag;;;;Rigorous Software Engineering for Service-oriented Systems;;;2011;;http://dl.acm.org/citation.cfm?id=2043021.2043052;;;;;;978-3-642-20400-5
CentralNigeriaUmeano;10;;;;Copyright Central and Bank Nigeria and Attn Chidi Umeano;;;;;;;;;;;;;;;;;;;;;;Central Business District;;;;;;;;;;;
Chen2012;7;;;;Yu-Che Chen;;;;;;;;;Government Information Quarterly ;;;;;Social Media in Government - Selections from the 12th Annual International Conference on Digital Government Research (dg.o2011) ;4;;553 - 563;;;;;A comparative study of e-government \XBRL\ implementations: The potential of improving information transparency and efficiency ;;29;2012;;http://www.sciencedirect.com/science/article/pii/S0740624X12001013;;;;;;
ChengLuSheu2009;7;;;;Hilary Cheng and Yi-Chuan Lu and Calvin Sheu;;;;;;;;;Expert Systems with Applications ;;;;;;2, Part 2;;3614 - 3622;;;;;An ontology-based business intelligence application in a financial knowledge management system ;;36;2009;;http://www.sciencedirect.com/science/article/pii/S095741740800119X;;;;;;
Cheng2009;7;;;;Cheng, Kang;;;;;;;;;Journal of Corporate Accounting \& Finance;;;;;;6;;31--37;Wiley Subscription Services, Inc., A Wiley Company;;;;Navigating with the IFRS convergence roadmap;;20;2009;;http://dx.doi.org/10.1002/jcaf.20526;;;;;;
ChiuLiuVasarhelyi2014;7;;;;Victoria Chiu and Qi Liu and Miklos A. Vasarhelyi;;;;;;;;;Journal of Accounting Literature ;;;;;;1–2;;37 - 57;;;;;The development and intellectual structure of continuous auditing research ;;33;2014;;http://www.sciencedirect.com/science/article/pii/S0737460714000032;;;;;;
ChoRoberts2010;7;;;;Charles H. Cho and Robin W. Roberts;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;1;;1 - 16;;;;;Environmental reporting on the internet by America's Toxic 100: Legitimacy and self-presentation ;;11;2010;;http://www.sciencedirect.com/science/article/pii/S1467089509000633;;;;;;
ChouSeng2009;7;;;;Tung-Hsiang Chou and Jia-Lang Seng;;;;;;;;;Information \& Management ;;;;;;6;;342 - 350;;;;;An intelligent multi-agent e-services method—An international telecommunication example ;;46;2009;;http://www.sciencedirect.com/science/article/pii/S0378720609000652;;;;;;
ClanceySierhuisSeah2009;7;New York, NY, USA;;;Clancey, William j. and Sierhuis, Maarten and Seah, Chin;;;;;;;;;Artif. Intell. Eng. Des. Anal. Manuf.;;November;;;;4;;357--371;Cambridge University Press;;;;Workflow Agents Versus Expert Systems: Problem Solving Methods in Work Systems Design;;23;2009;;http://dx.doi.org/10.1017/S0890060409990059;;;;;;
Clor-ProellProellWarfield2014;7;;;;Clor-Proell, Shana M. and Proell, Chad A. and Warfield, Terry D.;;;;;;;;;Contemporary Accounting Research;;;;;;1;;45--66;;;;;The Effects of Presentation Salience and Measurement Subjectivity on Nonprofessional Investors' Fair Value Judgments;;31;2014;;http://dx.doi.org/10.1111/1911-3846.12041;;;;;;
Cohen2004;7;;;;Cohen, E.E.;;;;;;;;;Canadian Accounting Perspectives;;;;;cited By 15;2;;187-206;;;;;Compromise or customize: XBRL's paradoxical power [Accommodement ou Personnalisation: Le Pouvoir Paradoxal du XBRL];;3;2004;;http://www.scopus.com/inward/record.url?eid=2-s2.0-11144250169&partnerID=40&md5=d032789e43bd123005ba86f72fc1be81;;;;;;
Cohen2009a;7;;;;Cohen, E.E.;;;;;;;;;International Journal of Disclosure and Governance;;;;;cited By 16;3;;188-206;;;;;XBRL's global ledger framework: Exploring the standardised missing link to ERP integration;;6;2009;;http://www.scopus.com/inward/record.url?eid=2-s2.0-67849099428&partnerID=40&md5=637a51ed07ace9af445c185faae1e5f7;;;;;;
CohenDebrecenyFarewellEtAl2014;7;;;;Eric E. Cohen and Roger Debreceny and Stephanie Farewell and Saeed Roohani;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2013 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";4;;400 - 422;;;;;Issues with the communication and integrity of audit reports when financial reporting shifts to an information-centric paradigm ;;15;2014;;http://www.sciencedirect.com/science/article/pii/S1467089514000347;;;;;;
ColettiMurgia2015;7;New York, NY, USA;;;Coletti, Paolo and Murgia, Maurizio;;;;;;;;;J. Data and Information Quality;;October;;;;4;;16:1--16:23;ACM;;;;Design and Construction of a Historical Financial Database of the Italian Stock Market 1973--2011;;6;2015;;http://doi.acm.org/10.1145/2822898;;;;;;
Cummins2009a;5;Burlington;;;Fred A. Cummins;Building the Agile Enterprise ;;;;;Cummins, Fred A. ;;;;;;;;;;;127 - 154;Morgan Kaufmann;;;The MK/OMG Press;Chapter 5 - Enterprise Information Management ;;;2009;;http://www.sciencedirect.com/science/article/pii/B9780123744456000054;;;;;;978-0-12-374445-6
CurryHarthO‟Riain;10;;;;Edward Curry and Andreas Harth and Sean O‟Riain;;;;;;;;;;;;;;;;;;;;;;2009) “Challenges ahead for converging financial data”, W3C Workshop on improving access to financial data on the web;;;;;;;;;;;
CurryODonnellCorryEtAl2013;7;Amsterdam, The Netherlands, The Netherlands;;;Curry, Edward and O'Donnell, James and Corry, Edward and Hasan, Souleiman and Keane, Marcus and O'Riain, Se\'{a}N;;;;;;;;;Adv. Eng. Inform.;;April;;;;2;;206--219;Elsevier Science Publishers B. V.;;;;Linking Building Data in the Cloud: Integrating Cross-domain Building Data Using Linked Data;;27;2013;;http://dx.doi.org/10.1016/j.aei.2012.10.003;;;;;;
DallaViaGarbellotto2015;7;;;;Dalla Via, Nicola and Garbellotto, Gianluca;;;;;;;;;Strategic Finance;;;;;;4;;46;Institute of Management Accountants;;;;INTERNAL REPORTING WITH XBRL GLOBAL LEDGER;;97;2015;;;;;;;;
DanenasGarsva2015a;7;;;;Paulius Danenas and Gintautas Garsva;;;;;;;;;Expert Systems with Applications ;;;;;;6;;3194 - 3204;;;;;Selection of Support Vector Machines based classifiers for credit risk domain ;;42;2015;;http://www.sciencedirect.com/science/article/pii/S0957417414007660;;;;;;
DebrecenyFarewell2010;7;;;;Debreceny, Roger and Farewell, Stephanie;;;;;;;;;Issues in Accounting Education;;;;;;3;;465--488;;;;;Adios! Airways: An assignment on mapping financial statements to the US GAAP XBRL taxonomy;;25;2010;;;;;;;;
DebrecenyFarewellPiechockiEtAl2010;7;;;;Roger Debreceny and Stephanie Farewell and Maciej Piechocki and Carsten Felden and André Gräning;;;;;;;;;Journal of Accounting and Public Policy ;;;;;;3;;296 - 306;;;;;Does it add up? Early evidence on the data quality of \XBRL\ filings to the \SEC\ ;;29;2010;;http://www.sciencedirect.com/science/article/pii/S0278425410000219;;;;;;
DebrecenyFeldenBergakademieEtAl;10;;;;Roger Debreceny and Carsten Felden and Technische Universität Bergakademie and Stephanie Farewell and Maciej Piechocki and Ifrs Foundation;;;;;;;;;;;;;;;;;;;;;;d'Eri Alessandro2 International Accounting Standards Board;;;;;;;;;;;
DebrecenyGray2010;7;;;;Roger S. Debreceny and Glen L. Gray;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2009 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";3;;157 - 181;;;;;Data mining journal entries for fraud detection: An exploratory study ;;11;2010;;http://www.sciencedirect.com/science/article/pii/S1467089510000540;;;;;;
DillaRaschke2015;7;;;;William N. Dilla and Robyn L. Raschke;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;;;1 - 22;;;;;Data visualization for fraud detection: Practice implications and a call for future research ;;16;2015;;http://www.sciencedirect.com/science/article/pii/S1467089515000020;;;;;;
Director;10;;;;Technical Director;;;;;;;;;;;;;;;;;;;;;;Notice to Recipients of This Exposure Draft of a Proposed Accounting Standards Update;;;;;;;;;;;
DitterHenselmannScherr2011;7;;;;Ditter, Dominik and Henselmann, Klaus and Scherr, Elisabeth;;;;;;;;;Journal of Intelligence Studies in Business;;;;;;1;;;;;;;Using XBRL technology to extract competitive information from financial statements;;1;2011;;;;;;;;
DombrowskiSmithWood2013;7;;;;Robert F. Dombrowski and Kenneth J. Smith and Bob G. Wood;;;;;;;;;Journal of Accounting Education ;;;;;;1;;84 - 106;;;;;Bridging the education-practice divide: The Salisbury University auditing internship program ;;31;2013;;http://www.sciencedirect.com/science/article/pii/S0748575112001571;;;;;;
DrakeRoulstoneThornock;10;;;;Michael S. Drake and Darren T. Roulstone and Jacob R. Thornock;;;;;;;;;;;;;;;;;;;;;;The Demand for Mandatory Disclosure: Evidence from Investors ’ Use of the EDGAR Database;;;;;;;;;;;
DrakeRoulstoneThornocka;10;;;;Michael S. Drake and Darren T. Roulstone and Jacob R. Thornock;;;;;;;;;;;;;;;;;;;;;;The Demand for Mandatory Disclosure: Evidence from Investors ’ Use of the EDGAR Database;;;;;;;;;;;
DuWimmerRada2014;7;Inderscience Publishers, Geneva, SWITZERLAND;;;Du, Jie and Wimmer, Hayden and Rada, Roy;;;;;;;;;Int. J. Artif. Intell. Soft Comput.;;November;;;;4;;335--353;Inderscience Publishers;;;;Knowledge Constrained Evolutionary Algorithms: A Case Study for Financial Investing;;4;2014;;http://dx.doi.org/10.1504/IJAISC.2014.065801;;;;;;
DuZhou2012a;7;;;;Jie Du and Lina Zhou;;;;;;;;;Decision Support Systems ;;;;;;1;;76 - 86;;;;;Improving financial data quality using ontologies ;;54;2012;;http://www.sciencedirect.com/science/article/pii/S0167923612001832;;;;;;
DunneHelliarLymerEtAl2013;7;;;;Dunne, Theresa and Helliar, Christine and Lymer, Andy and Mousa, Rania;;;;;;;;;{BRITISH ACCOUNTING REVIEW};;{SEP};;;;{3};;{167-182};;;;;Stakeholder engagement in internet financial reporting: The diffusion of XBRL in the UK;;{45};{2013};;;;;;;;
EdgarManualStatesEtAl;10;;;;Use Edgar and Filer Manual and United States and Edgarlink;;;;;;;;;;;;;;;;;;;;;;EDGAR Company Database;;;;;;;;;;;
EdgarManualStatesEtAla;10;;;;Use Edgar and Filer Manual and United States and Edgarlink;;;;;;;;;;;;;;;;;;;;;;EDGAR Company Database;;;;;;;;;;;
EhrlichAnandarajanFossaceca2009;7;;;;Ehrlich, Michael and Anandarajan, Asokan and Fossaceca, Michael;;;;;;;;;Journal of Corporate Accounting \& Finance;;;;;;6;;55--64;Wiley Subscription Services, Inc., A Wiley Company;;;;Solving treasury problems in an age of global trade;;20;2009;;http://dx.doi.org/10.1002/jcaf.20530;;;;;;
EniNastase2013;7;;;;Eni, Lucian Cristian and Nastase, Pavel;;;;;;;;;{ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH};;;;;;{3};;{17-36};;;;;CONSIDERATIONS ON THE USE OF XBRL DURING THE FINANCIAL AUDIT MISSIONS: APPROACH OF A MODEL;;{47};{2013};;;;;;;;
ErlingMikhailov2008;6;Berlin, Heidelberg;;;Erling, Orri and Mikhailov, Ivan;Proceedings of the 5th European Semantic Web Conference on The Semantic Web: Research and Applications;;;;;;;;;;;;;;;;838--842;Springer-Verlag;;;ESWC'08;Integrating Open Sources and Relational Data with SPARQL;;;2008;;http://dl.acm.org/citation.cfm?id=1789394.1789478;;;;;;3-540-68233-3, 978-3-540-68233-2
Escobar-RodriguezGago-Rodriguez2012;7;;;;Tomás Escobar-Rodríguez and Susana Gago-Rodríguez;;;;;;;;;Revista de Contabilidad ;;;;;;1;;91 - 108;;;;;“We were the first to support a major is innovation”. Research into the motivations of spanish pioneers in \XBRL\ ;;15;2012;;http://www.sciencedirect.com/science/article/pii/S1138489112700390;;;;;;
EspanaKpmgJustsystemsEtAl;10;;;;Ignacio Boixo Banco De España and Lars Dyrner Kpmg and Diane Mueller Justsystems and Yossef Newman Deloitte and Mike Willis Pricewaterhousecoopers;;;;;;;;;;;;;;;;;;;;;;Contributors- Best Practices Board Members and Staff:;;;;;;;;;;;
Faboyede2011;7;;;;Faboyede, Olusola Samuel;;;;;;;;;National Journal of System and Information Technology;;;;;;1;;30;Publishing India Group;;;;E-Business Conflict Resolution: The Role of XBRL, the Next-Generation Digital Language of Business Reporting;;4;2011;;;;;;;;
FABOYEDEMUKOROLECTUREREtAl2011;7;;;;FABOYEDE, SO and MUKORO, DR and LECTURER, D and OLOWE, O;;;;;;;;;CHIEF PATRON CHIEF PATRON;;;;;;;;;;;;;XBRL, The 21st Century Data Source and Database Level Data Validation;;;2011;;;;;;;;
FahyFellerFinneganEtAl2009;7;;;;Fahy, Martin and Feller, Joseph and Finnegan, Patrick and Murphy, Ciaran;;;;;;;;;Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration;;;;;;2;;125--135;John Wiley \& Sons, Ltd.;;;;Co-operatively re-engineering a financial services information supply chain: A case study;;26;2009;;http://dx.doi.org/10.1002/cjas.98;;;;;;
Felden2011;7;;;;Felden, Carsten;;;;;;;;;Journal of Management Control;English;;;;;2;;161-186;Springer-Verlag;;;;Characteristics of XBRL adoption in Germany;;22;2011;;http://dx.doi.org/10.1007/s00187-011-0134-7;;;;;;
FiginiKenettSalini2010;7;;;;Figini,, Silvia and Kenett, Ron S. and Salini, Silvia;;;;;;;;;Quality and Reliability Engineering International;;;;;;8;;887--897;John Wiley \& Sons, Ltd.;;;;Optimal scaling for risk assessment: merging of operational and financial data;;26;2010;;http://dx.doi.org/10.1002/qre.1158;;;;;;
Fischer;7;;;;Fischer, Herm;;;;;;;;;;;;;;;;;;;;;;“Evolution and Future Trends for XBRL Development” KU XBRL 2013;;;;;;;;;;;
FolmerWu2013;5;;;;Folmer, Erwin and Wu, Harris;Enterprise Interoperability;;;;;;;;;;;;;;;;227--241;John Wiley \& Sons, Ltd;;;;Semantic Standards Quality Measured for Achieving Enterprise Interoperability: The Case of the SETU Standard for Flexible Staffing;;;2013;;http://dx.doi.org/10.1002/9781118846995.ch23;;;;;;9781118846995
FolmerWuBekkum2014;7;Secaucus, NJ, USA;;;Folmer, Erwin and Wu, Harris and Bekkum, Michael;;;;;;;;;Inf. Syst. E-bus. Manag.;;November;;;;4;;517--541;Springer-Verlag New York, Inc.;;;;Data Standards Quality Measured for Achieving Enterprise Interoperability: The Case of the SETU Standard for Flexible Staffing;;12;2014;;http://dx.doi.org/10.1007/s10257-014-0236-5;;;;;;
GajewskiLi2015;7;;;;Jean-François Gajewski and Li Li;;;;;;;;;Advances in Accounting ;;;;;;1;;115 - 124;;;;;Can Internet-based disclosure reduce information asymmetry? ;;31;2015;;http://www.sciencedirect.com/science/article/pii/S0882611015000140;;;;;;
Garcia2010;7;Hershey, PA, USA;;;Garc\'{\i}a, Roberto;;;;;;;;;Int. J. Decis Support Syst. Technol.;;January;;;;1;;60--80;IGI Global;;;;Using the Rhizomer Platform for Semantic Decision Support Systems Development;;2;2010;;http://dx.doi.org/10.4018/jdsst.2010101605;;;;;;
GarciaGil2010;6;New York, NY, USA;;;Garc\'{\i}a, Roberto and Gil, Rosa;Proceedings of the 6th International Conference on Semantic Systems;;;;;;;;;;;;;;;;3:1--3:8;ACM;;;I-SEMANTICS '10;Triplificating and Linking XBRL Financial Data;;;2010;;http://doi.acm.org/10.1145/1839707.1839711;;;;;;978-1-4503-0014-8
GarciaGil2009a;6;Madrid, Spain;;;Garcia, Roberto and Gil, Rosa;;;;;;;;;CEUR Workshop Proceedings;English;;;;"Financial information;Linked datum;Quarterly reports;Reporting;Resource description framework;Semantic Web technology;Web 3.0;Web ontology language;";;;;;;;;Publishing XBRL as linked open data;;538;2009;;;;;;;;
GarciaGil2009;10;;;;García, R. and Gil, R.;;;;;;;;;CEUR Workshop Proceedings;;;;;cited By 3;;;;;;;;Publishing XBRL as linked open data;;538;2009;;http://www.scopus.com/inward/record.url?eid=2-s2.0-84888084597&partnerID=40&md5=39135d6c26ef802bfce70e15879eb64c;;;;;;
GarciaGil2010a;5;;;;García, Roberto and Gil, Rosa;Linking Enterprise Data;;;;;Wood, David;;;;English;;;;;;;103-125;Springer US;;;;Linking XBRL Financial Data;;;2010;;http://dx.doi.org/10.1007/978-1-4419-7665-9_6;;;;;;978-1-4419-7664-2
Gastineau2010;5;;;;Gastineau, Gary L.;The Exchange-Traded Funds Manual;;;;;;;;;;;;;;;;131--181;John Wiley \& Sons, Inc.;;;;Fund Ratings and Rankings—The Evaluation and Selection of ETFs and Mutual Funds;;;2010;;http://dx.doi.org/10.1002/9781118266946.ch6;;;;;;9781118266946
Gastineau2010a;5;;;;Gastineau, Gary L.;The Exchange-Traded Funds Manual;;;;;;;;;;;;;;;;i--xi;John Wiley \& Sons, Inc.;;;;Front Matter;;;2010;;http://dx.doi.org/10.1002/9781118266946.fmatter;;;;;;9781118266946
Gastineau2010b;5;;;;Gastineau, Gary L.;The Exchange-Traded Funds Manual;;;;;;;;;;;;;;;;353--370;John Wiley \& Sons, Inc.;;;;Index;;;2010;;http://dx.doi.org/10.1002/9781118266946.index;;;;;;9781118266946
Geerts2011;7;;;;Guido L. Geerts;;;;;;;;;International Journal of Accounting Information Systems ;;;;;Special Issue on Methodologies in \{AIS\} Research ;2;;142 - 151;;;;;A design science research methodology and its application to accounting information systems research ;;12;2011;;http://www.sciencedirect.com/science/article/pii/S1467089511000200;;;;;;
GhahremanlooThomMagee2012;6;New York, NY, USA;;;Ghahremanloo, Lida and Thom, James A. and Magee, Liam;Proceedings of the Seventeenth Australasian Document Computing Symposium;;;;;;;;;;;;;;;;72--79;ACM;;;ADCS '12;An Ontology Derived from Heterogeneous Sustainability Indicator Set Documents;;;2012;;http://doi.acm.org/10.1145/2407085.2407095;;;;;;978-1-4503-1411-4
GhanavatiHulstijn2015;6;Piscataway, NJ, USA;;;Ghanavati, Sepideh and Hulstijn, Joris;Proceedings of the First International Workshop on TEchnical and LEgal Aspects of Data pRIvacy;;;;;;;;;;;;;;;;26--31;IEEE Press;;;TELERISE '15;Impact of Legal Interpretation on Business Process Compliance;;;2015;;http://dl.acm.org/citation.cfm?id=2821464.2821473;;;;;;
GhaniLaswadTooley2011;7;;;;Erlane K. Ghani and Fawzi Laswad and Stuart Tooley;;;;;;;;;The British Accounting Review ;;;;;;3;;186 - 199;;;;;Functional fixation: Experimental evidence on the presentation of financial information through different digital formats ;;43;2011;;http://www.sciencedirect.com/science/article/pii/S0890838911000515;;;;;;
GonzalezSharmaGalletta2012;7;;;;George C. Gonzalez and Pratyush N. Sharma and Dennis F. Galletta;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2011 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";3;;248 - 262;;;;;The antecedents of the use of continuous auditing in the internal auditing context ;;13;2012;;http://www.sciencedirect.com/science/article/pii/S1467089512000401;;;;;;
Gonzalez-CarrascoColomo-PalaciosLopez-CuadradoEtAl2012a;7;New York, NY, USA;;;Gonzalez-Carrasco, Israel and Colomo-Palacios, Ricardo and Lopez-Cuadrado, Jose Luis and Garc\ia-Crespo, \'{A}ngel and Ruiz-Mezcua, Bel{\'e}n;;;;;;;;;Inf. Sci.;;November;;;;;;63--82;Elsevier Science Inc.;;;;PB-ADVISOR: A Private Banking Multi-investment Portfolio Advisor;;206;2012;;http://dx.doi.org/10.1016/j.ins.2012.04.008;;;;;;
Gonzalez-CarrascoColomo-PalaciosLopez-CuadradoEtAl2012;7;;;;Israel Gonzalez-Carrasco and Ricardo Colomo-Palacios and Jose Luis Lopez-Cuadrado and Ángel Garcı´a-Crespo and Belén Ruiz-Mezcua;;;;;;;;;Information Sciences ;;;;;;;;63 - 82;;;;;PB-ADVISOR: A private banking multi-investment portfolio advisor ;;206;2012;;http://www.sciencedirect.com/science/article/pii/S0020025512002526;;;;;;
Granlund2011;7;;;;Markus Granlund;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;1;;3 - 19;;;;;Extending \AIS\ research to management accounting and control issues: A research note ;;12;2011;;http://www.sciencedirect.com/science/article/pii/S1467089510000874;;;;;;
Grant2008;7;;;;Julia Grant;;;;;;;;;Research in Accounting Regulation ;;;;;;;;47 - 61;;;;;Demographic challenges facing the \CPA\ profession ;;20;2008;;http://www.sciencedirect.com/science/article/pii/S1052045707002032;;;;;;
GrayDebreceny2014;7;;;;Glen L. Gray and Roger S. Debreceny;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2013 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";4;;357 - 380;;;;;A taxonomy to guide research on the application of data mining to fraud detection in financial statement audits ;;15;2014;;http://www.sciencedirect.com/science/article/pii/S1467089514000323;;;;;;
Groot2008;5;Burlington;;;Martijn Groot;Managing Financial Information in The Trade Lifecycle ;;;;;Groot, Martijn ;;;;;;;;;;;17 - 94;Academic Press;;;The Elsevier and Mondo Visione World Capital Markets;Chapter 2 - The Instrument Lifecycle: The Life and Times of Financial Instruments ;;;2008;;http://www.sciencedirect.com/science/article/pii/B9780123742896000029;;;;;;978-0-12-374289-6
GuanLevitanJr.2013;7;;;;Jian Guan and Alan S. Levitan and John R. Kuhn Jr.;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;1;;21 - 38;;;;;How \AIS\ can progress along with ontology research in \IS\ ;;14;2013;;http://www.sciencedirect.com/science/article/pii/S1467089512000589;;;;;;
HrebicekStenclTrenzEtAl2011;6;Stevens Point, Wisconsin, USA;;;H\v{r}eb\'{\i}\v{c}ek, Ji\v{r}\'{\i} and \v{S}tencl, Michael and Trenz, Old\v{r}ich and Soukopov\'{a}, Jana;Proceedings of the 11th WSEAS International Conference on Applied Informatics and Communications, and Proceedings of the 4th WSEAS International Conference on Biomedical Electronics and Biomedical Informatics, and Proceedings of the International Conference on Computational Engineering in Systems Applications;;;;;;;;;;;;;;;;338--343;World Scientific and Engineering Academy and Society (WSEAS);;;AIASABEBI'11;Corporate Performance Evaluation and Reporting;;;2011;;http://dl.acm.org/citation.cfm?id=2042791.2042855;;;;;;978-1-61804-028-2
Hajnal2015;7;;;;István Hajnal;;;;;;;;;Procedia Engineering ;;;;;Selected papers from Creative Construction Conference 2015 ;;;224 - 232;;;;;Appraisal of Work-in-Progress Buildings ;;123;2015;;http://www.sciencedirect.com/science/article/pii/S1877705815031835;;;;;;
HamlenThuraisingham2013a;7;;;;Kevin W. Hamlen and Bhavani Thuraisingham;;;;;;;;;Computer Standards \& Interfaces ;;;;;;1;;1 - 5;;;;;Data security services, solutions and standards for outsourcing ;;35;2013;;http://www.sciencedirect.com/science/article/pii/S0920548912000414;;;;;;
